metric,year,value
Total Revenue (Rs.Mn.),2018,44102.92
Total Revenue (Rs.Mn.),2019,43489.53
Total Revenue (Rs.Mn.),2020,31233.25
Total Revenue (Rs.Mn.),2021,26963.77
Total Revenue (Rs.Mn.),2022,71801.06
Total Revenue (Rs.Mn.),2023,77768.79
Total Revenue (Rs.Mn.),2024,100942.83
Total Cost (Rs.Mn.),2018,39956.73
Total Cost (Rs.Mn.),2019,39954.65
Total Cost (Rs.Mn.),2020,31586.35
Total Cost (Rs.Mn.),2021,28384.75
Total Cost (Rs.Mn.),2022,71356.58
Total Cost (Rs.Mn.),2023,74976.83
Total Cost (Rs.Mn.),2024,95348.34
Profit/Loss (Rs.Mn.),2018,4146.19
Profit/Loss (Rs.Mn.),2019,3534.87
Profit/Loss (Rs.Mn.),2020,353.1
Profit/Loss (Rs.Mn.),2021,1420.98
Profit/Loss (Rs.Mn.),2022,444.48
Profit/Loss (Rs.Mn.),2023,2791.95
Profit/Loss (Rs.Mn.),2024,5594.48
Fleet (Average),2018,7125.0
Fleet (Average),2019,7012.0
Fleet (Average),2020,7118.0
Fleet (Average),2021,7034.0
Fleet (Average),2022,6865.0
Fleet (Average),2023,7218.0
Fleet (Average),2024,7135.0
T.T.R (Average) (Time Table Requirement),2018,7257.0
T.T.R (Average) (Time Table Requirement),2019,7284.0
T.T.R (Average) (Time Table Requirement),2020,7338.0
T.T.R (Average) (Time Table Requirement),2021,7288.0
T.T.R (Average) (Time Table Requirement),2022,7058.0
T.T.R (Average) (Time Table Requirement),2023,7204.0
T.T.R (Average) (Time Table Requirement),2024,7307.0
Average Buses Made Available a Day,2018,5970.0
Average Buses Made Available a Day,2019,5854.0
Average Buses Made Available a Day,2020,5641.0
Average Buses Made Available a Day,2021,5181.0
Average Buses Made Available a Day,2022,4814.0
Average Buses Made Available a Day,2023,5243.0
Average Buses Made Available a Day,2024,5107.0
Average Buses Operated a Day,2018,5227.0
Average Buses Operated a Day,2019,5079.0
Average Buses Operated a Day,2020,3971.0
Average Buses Operated a Day,2021,4449.0
Average Buses Operated a Day,2022,4279.0
Average Buses Operated a Day,2023,4379.0
Average Buses Operated a Day,2024,4581.0
Average Scheduled Km Scheduled AVU KMs,2018,1687452.0
Average Scheduled Km Scheduled AVU KMs,2019,1682087.0
Average Scheduled Km Scheduled AVU KMs,2020,1702058.0
Average Scheduled Km Scheduled AVU KMs,2021,1648704.0
Average Scheduled Km Scheduled AVU KMs,2022,1777719.0
Average Scheduled Km Scheduled AVU KMs,2023,256.0
Average Scheduled Km Scheduled AVU KMs,2024,
Operated kilometers,2018,446287644.0
Operated kilometers,2019,431304307.0
Operated kilometers,2020,306394827.0
Operated kilometers,2021,247681206.0
Operated kilometers,2022,345900203.0
Operated kilometers,2023,381792440.0
Operated kilometers,2024,508997692.0
No. of Passengers,2018,989580757.0
No. of Passengers,2019,916964004.0
No. of Passengers,2020,600511846.0
No. of Passengers,2021,389567496.0
No. of Passengers,2022,931355527.0
No. of Passengers,2023,124784570.0
No. of Passengers,2024,946416167.0
Passenger Km (Mn),2018,15510.0
Passenger Km (Mn),2019,14346.0
Passenger Km (Mn),2020,9725.0
Passenger Km (Mn),2021,9725.0
Passenger Km (Mn),2022,15000.0
Passenger Km (Mn),2023,14259.0
Passenger Km (Mn),2024,13153327085.0
No of Employees,2018,30405.0
No of Employees,2019,29650.0
No of Employees,2020,28507.0
No of Employees,2021,27246.0
No of Employees,2022,25713.0
No of Employees,2023,26014.0
No of Employees,2024,26013.0
Total Revenue (Rs.),2018,44102926752.0
Total Revenue (Rs.),2019,43489530466.0
Total Revenue (Rs.),2020,31233254844.0
Total Revenue (Rs.),2021,26963772230.0
Total Revenue (Rs.),2022,71801065903.0
Total Revenue (Rs.),2023,77768796234.0
Total Revenue (Rs.),2024,100942832097.0
Total Cost (Rs.),2018,39956732381.0
Total Cost (Rs.),2019,39954652197.0
Total Cost (Rs.),2020,31586357559.0
Total Cost (Rs.),2021,28384756909.0
Total Cost (Rs.),2022,71356585434.0
Total Cost (Rs.),2023,74976839951.0
Total Cost (Rs.),2024,95348344418.0
Profit/Loss*(Rs.),2018,4146194370.0
Profit/Loss*(Rs.),2019,3534878270.0
Profit/Loss*(Rs.),2020,-353102715.0
Profit/Loss*(Rs.),2021,-1420984679.0
Profit/Loss*(Rs.),2022,444480469.0
Profit/Loss*(Rs.),2023,2791956283.0
Profit/Loss*(Rs.),2024,5594487679.0
